eid,gameclock,gameclock_str,quarter,over,under,switch,trap
2,683,11:23,1,,,x,
4,657,10:57,1,x,,,
5,644,10:44,1,x,,,
8,599,9:59,1,,,,x
10,557,9:17,1,,,,
11,541,9:01,1,x,,,
18,466,7:46,1,x,,,
23,423,7:03,1,,,x,
24,411,6:51,1,,,x,
24,407,6:47,1,,x,,
28,348,5:48,1,,,x,
29,341,5:41,1,,,,
31,316,5:16,1,,x,,
35,282,4:42,1,,,x,
39,249,4:09,1,,,,
43,185,3:05,1,,,,x
49,90,1:30,1,x,,,
51,68,1:08,1,,,,x
52,50,0:50,1,,x,,
60,698,11:38,2,x,,,
61,695,11:35,2,,,,
64,665,11:05,2,,,,x
68,612,10:12,2,,,x,
70,573,9:33,2,x,,,
73,544,9:04,2,,,x,
75,526,8:46,2,x,,,
78,492,8:12,2,,,x,
80,459,7:39,2,,,x,
85,382,6:22,2,,,x,
87,364,6:04,2,,,,x
96,224,3:44,2,,,x,
97,216,3:36,2,x,,,
100,176,2:56,2,x,,,
101,172,2:52,2,,,,
103,138,2:18,2,,,,x
105,112,1:52,2,,,x,
113,57,0:57,2,,,,
117,709,11:49,3,,,,x
118,698,11:38,3,x,,,
120,671,11:11,3,,,x,
120,663,11:03,3,,,x,
130,523,8:43,3,,,,x
133,469,7:49,3,,,x,
136,424,7:04,3,,,,x
138,402,6:42,3,,,x,
138,398,6:38,3,,,x,
150,249,4:09,3,x,,,
154,218,3:38,3,,,,
157,188,3:08,3,,,,
159,148,2:28,3,,,x,
161,134,2:14,3,,,,x
165,101,1:41,3,x,,,
166,91,1:31,3,,x,,
170,42,0:42,3,,x,,
172,25,0:25,3,,,x,
180,712,11:52,4,,,x,
182,698,11:38,4,,,x,
183,690,11:30,4,,,x,
184,667,11:07,4,x,,,
185,650,10:50,4,,,x,
186,638,10:38,4,,,x,
187,624,10:24,4,,,,x
187,613,10:13,4,,,x,
188,604,10:04,4,x,,,
192,590,9:50,4,,,x,
194,566,9:26,4,x,,,
194,562,9:22,4,,,,x
197,529,8:49,4,x,,,
198,515,8:35,4,,,x,
204,469,7:49,4,,,,x
204,453,7:33,4,,,,x
211,346,5:46,4,,,,
211,342,5:42,4,x,,,
213,299,4:59,4,,,,
217,279,4:39,4,x,,,
220,283,4:43,4,,,,
224,186,3:06,4,,,x,
231,122,2:02,4,,x,,
232,100,1:40,4,,x,,
234,69,1:09,4,x,,,
235,56,0:56,4,,,x,
236,32,0:32,4,x,,,
238,11,0:11,4,,,x,
