eid,gameclock,gameclock_str,quarter,over,under,switch,trap
1,707,11:47,1,x,,,
5,664,11:04,1,x,,,
16,513,8:33,1,x,,,
18,505,8:25,1,,,,
19,484,8:04,1,,,,
24,449,7:29,1,,,x,
26,420,7:00,1,,,x,
33,369,6:09,1,,,x,
36,334,5:34,1,,x,,
39,290,4:50,1,,x,,
39,286,4:46,1,,,x,
42,248,4:08,1,x,,,
43,238,3:58,1,,,,
47,231,3:51,1,,,x,
47,221,3:41,1,,,x,
47,219,3:39,1,,,,
48,209,3:29,1,,,,
52,193,3:13,1,,,x,
52,190,3:10,1,,,,x
52,178,2:58,1,x,,,
55,162,2:42,1,,,x,
55,144,2:24,1,x,,,
57,106,1:46,1,x,,,
59,72,1:12,1,,,,
61,59,0:59,1,x,,,
62,41,0:41,1,,,,
70,709,11:49,2,,,,x
71,676,11:16,2,,,x,
73,650,10:50,2,,,x,
77,592,9:52,2,,,,x
79,569,9:29,2,x,,,
80,561,9:21,2,,,x,
80,543,9:03,2,,,,
82,521,8:41,2,,,,x
87,472,7:52,2,,,,
88,459,7:39,2,x,,,
88,442,7:22,2,,,,x
96,389,6:29,2,,,x,
97,377,6:17,2,,,x,
98,354,5:54,2,,,x,
98,341,5:41,2,,,x,
99,320,5:20,2,x,,,
99,314,5:14,2,x,,,
102,303,5:03,2,,x,,
104,257,4:17,2,x,,,
104,255,4:15,2,x,,,
110,175,2:55,2,,,,
110,170,2:50,2,,,x,
119,108,1:48,2,,,,
123,83,1:23,2,,,,
125,45,0:45,2,,,x,
125,34,0:34,2,x,,,
126,8,0:08,2,x,,,
130,696,11:36,3,x,,,
131,688,11:28,3,,x,,
131,666,11:06,3,,x,,
136,628,10:28,3,,x,,
138,612,10:12,3,,,,
142,573,9:33,3,x,,,
146,525,8:45,3,,,,
147,522,8:42,3,,,,
150,479,7:59,3,,,x,
152,465,7:45,3,,,x,
152,446,7:26,3,,,,
154,435,7:15,3,,,,
156,415,6:55,3,,,x,
157,412,6:52,3,,x,,
157,394,6:34,3,,,,
163,325,5:25,3,,x,,
170,261,4:21,3,,x,,
171,246,4:06,3,,,,
172,230,3:50,3,,,,x
178,161,2:41,3,,x,,
178,147,2:27,3,,,,
181,133,2:13,3,,x,,
182,118,1:58,3,,,x,
186,82,1:22,3,x,,,
190,44,0:44,3,,,x,
191,32,0:32,3,,,x,
191,11,0:11,3,,,x,
195,713,11:53,4,x,,,
196,700,11:40,4,,,x,
196,683,11:23,4,,,,x
197,678,11:18,4,x,,,
198,661,11:01,4,x,,,
198,641,10:41,4,,,,x
199,611,10:11,4,,,,
203,586,9:46,4,x,,,
203,566,9:26,4,x,,,
204,553,9:13,4,x,,,
207,660,11:00,4,x,,,
207,641,10:41,4,,,,x
207,636,10:36,4,,,,
212,455,7:35,4,x,,,
214,443,7:23,4,x,,,
217,398,6:38,4,,,,
223,359,5:59,4,,,,
223,345,5:45,4,,,,
224,333,5:33,4,,,x,
227,318,5:18,4,x,,,
227,300,5:00,4,,,x,
228,282,4:42,4,,,,
228,262,4:22,4,,,x,
233,233,3:53,4,x,,,
233,225,3:45,4,,,,
235,207,3:27,4,,,,
238,195,3:15,4,,,,
238,177,2:57,4,,,x,
239,156,2:36,4,,x,,
240,148,2:28,4,,,x,
242,132,2:12,4,,,,
245,122,2:02,4,,,,x
245,113,1:53,4,,,x,
249,67,1:07,4,,,x,
